title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Motu Patlu the Superheroes – Super Villains from Mars,MOVIE,2019,G,79,animation,[],,,0.89,10.0
Shiva: The Secret World Of Vedas City,MOVIE,2017,G,78,,[],,,1.4,
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,MOVIE,2018,G,86,,[],,,1.133,10.0
SAS: Red Notice,MOVIE,2021,R,124,thriller,"['CH', 'GB', 'HU', 'NL']",,18190.0,89.579,5.755000000000001
Thimmarusu: Assignment Vali,MOVIE,2021,,127,crime,['IN'],,1544.0,1.932,7.565
Playing God,MOVIE,2021,,96,comedy,['US'],,780.0,7.724,5.9399999999999995
Manoranjan,MOVIE,1974,,162,romance,['IN'],,237.0,1.532,6.135
Mimi,MOVIE,2021,,132,comedy,['IN'],,,8.333,7.48
Johnny Mnemonic,MOVIE,1995,R,97,action,"['CA', 'US']",,71563.0,10.75,5.865
Bling Empire - The Afterparty,MOVIE,2021,,35,,['US'],,,,
Bridgerton - The Afterparty,MOVIE,2021,,38,,['US'],,,,
Cobra Kai - The Afterparty,MOVIE,2021,,34,,['US'],,,1.4,
Shiny_Flakes: The Teenage Drug Lord,MOVIE,2021,,96,documentation,['DE'],,4699.0,10.72,7.66
The Jesus Music,MOVIE,2021,PG-13,109,documentation,['US'],,333.0,3.451,7.6
Aftermath,MOVIE,2021,,114,horror,['US'],,15646.0,46.058,6.03
Monster Hunter: Legends of the Guild,MOVIE,2021,PG-13,58,fantasy,['US'],,,16.28,6.13
You Can't Kill Meme,MOVIE,2021,,78,documentation,['US'],,94.0,3.089,3.7
Metal Lords,MOVIE,2022,R,97,music,['US'],,24672.0,123.401,6.91
Blue Dream: The Road to Wembley,MOVIE,2021,,61,documentation,['IT'],,792.0,4.84,7.6049999999999995
Homeroom,MOVIE,2021,,90,documentation,['US'],,245.0,2.951,5.4
Yakuza Princess,MOVIE,2021,R,112,thriller,"['BR', 'US']",,1377.0,41.978,5.550000000000001
Memories of a Murderer: The Nilsen Tapes,MOVIE,2021,R,84,documentation,['GB'],,3301.0,5.426,6.4399999999999995
Chhota Bheem & Krishna: Pataliputra- City of the Dead,MOVIE,2010,G,65,animation,['IN'],,,,
Chhota Bheem: Journey to Petra,MOVIE,2011,G,67,animation,['IN'],,,,
Stuck Together,MOVIE,2021,,126,comedy,"['BE', 'FR']",,6897.0,15.493,6.35
Mission: Impossible,MOVIE,1996,PG-13,110,thriller,['US'],,420673.0,41.115,7.155
"Bob Ross: Happy Accidents, Betrayal & Greed",MOVIE,2021,PG-13,92,documentation,"['NL', 'US']",,5856.0,6.605,7.01
